CODICEIDENTIFICATIVOFARMACIA,street,housenumber,DESCRIZIONEFARMACIA 1,DESCRIZIONEFARMACIA 2,PARTITAIVA,CAP,city,DATAINIZIOVALIDITA,lat,lng
5496,Via Rossetti," 33 Ang. Via Buonarrotti, 11",Farmacie Zamboni S.N.C,Marco e Vittorio Zamboni -al Centauro,01222510321,34125,TRIESTE,01/07/2017,45.649991,13.785256
5497,Largo S. Vardabasso, 1,Ai Gemelli,Bianca Maria Acanfora,01171260324,34148,TRIESTE,01/03/2013,40.554252,14.217601
5509,Via Curiel, 7/B,Fumaneri & C. S.N.C.,,01181670322,34148,TRIESTE,01/08/2010,45.122402,9.12159
5514,Piazza Liberta, 6,Alla Giustizia Di Baldassare Alessandro,,01167820321,34135,TRIESTE,01/03/2013,45.837558,13.401927
5516,Piazza DellOspedale, 8,Farmacia Al Samaritano Del Dott. Matteo Bartoli S.R.L.,,01310340326,34129,TRIESTE,01/06/2018,43.879898,11.091381
5519,Piazzale Foschiati, 4/A,Alla Marina,Monica Candiani,01282730322,34015,MUGGIA,01/07/2017,45.602168,13.769843
5524,Capo di Piazza Mons. Santin, 2,Ai Due Mori,,00066270323,34100,TRIESTE,01/01/2005,40.649755,14.626672
5526,Via Cavana, 11,Al Castoro,,00756580320,34124,TRIESTE,01/07/2017,45.647676,13.766164
5527,Via Ginnastica, 6,All'igea Dott. Giuseppe Tomsich & C S.N.C,,01193100326,34125,TRIESTE,01/05/2011,45.650287,13.778647
5528,Via Mazzini, 1/A,San Rocco -farmacie Neri Di Andrea E Bruno Neri S.N.C,,00833350325,34015,MUGGIA,01/09/2010,45.603145,13.768287
5530,Via Cavana, 1,Al Redentore S.N.C,,01045940325,34121,TRIESTE,01/01/2005,45.648218,13.766816
5542,Via Louise Pasteur, 4/1,Melara Bianchi Patrizia,,01033110329,34139,TRIESTE,01/01/2005,45.639726,13.824432
5548,Via Manzoni, 159,Cinquetti Dr.Ssa Paola & C. S.N.C,,01162650319,34070,MARIANO DEL FRIULI,01/07/2017,45.94719,8.772656
5550,Via Matteotti, 13,Alla Madonna S.N.C,Giuliana Scolaris e Alberto Morassi,01167310315,34071,CORMONS,01/07/2017,37.589508,14.038662
5552,Piazza Repubblica, 16,Centrale Di Modonutti Antonio,,01168890315,34074,MONFALCONE,01/07/2017,45.810062,13.533031
5555,Via Montesanto, 18,Farmacia San Rocco Dr. Labagnara Simonetta,,00552550311,34070,VILLESSE,01/08/2007,43.619264,13.525121
5556,Via Dante, 58,Fornasin Francesca,,00533060315,34072,FARRA DISONZO,01/09/2010,45.919186,13.45673
5558,Via I^ Maggio, 32,Rojec Marco,,00467250312,34070,SAVOGNA DISONZO,01/01/2005,44.805627,12.009879
5559,Via Pr� Guido Maghet, 1,S. Antonio Di Faro Di Leghissa & Giuffrida R. Snc,,00530350313,34071,CORMONS,01/07/2017,,
5561,Via Garibaldi, 3,Alla Stazione,,02866790278,34077,RONCHI DEI LEGIONARI,01/01/2005,45.866505,13.479228
5563,Via Manlio, 14/A-B,Comunale N.2 Monfalcone,,-,34074,MONFALCONE,01/01/2005,41.062613,16.921916
5566,Via Oliviers, 41,Moretti Elisabetta,,00386870315,34070,MOSSA,01/01/2005,45.934836,13.547488
5568,Via IX Giugno, 36,Al Redentore,,00558510319,34074,MONFALCONE,01/01/2005,45.063787,9.262594
5569,Via Crispi, 23,Tramontana Isabella,,01707970602,34170,GORIZIA,01/04/2007,45.651263,13.780534
5572,Via I Maggio, 92,S. Nicolo' Di Olivetti Anna & C. S.N.C,,01146500317,34074,MONFALCONE,01/07/2017,44.874262,10.814418
5574,Via Xxv Aprile, 25,Farmacia Visintin Di San Pier D'isonzo,,01079410310,34070,SAN PIER DISONZO,01/09/2017,39.304847,8.664077
5575,Via Carducci, 40,Farmacia Al Moro Del Dott. Fulvio Alesani S.A.S.,,01187660319,34170,GORIZIA,01/02/2018,37.023143,14.495818
5577,Piazza San Francesco, 4,D'udine,,00517880316,34170,GORIZIA,01/01/2005,45.820681,13.449475
5580,Via Ciotti, 26,Alla Quercia,Piani e C. Sas,00344890314,34072,GRADISCA DISONZO,01/07/2017,46.158404,12.660772
5583,Via Dante, 41,Luciani Vittorio,,01055280315,34078,SAGRADO,01/01/2005,45.93904,13.5211
5585,Via Oberdan, 3,All'orso Bruno - Provvidenti Dott.Ssa Laura,,00486470313,34170,GORIZIA,01/12/2014,45.864231,13.481443
5589,VIA DELLA CHIESA, 13/B,San Gallo Dr. Lorenzo Miolli E C S.A.S,,02692250307,33015,MOGGIO UDINESE,01/05/2012,46.410387,13.195271
5596,Via Matteotti, 8/A,Chiussi,Paolo & Serena Chiussi,02552930303,33028,TOLMEZZO,01/03/2013,37.159729,15.028171
5599,VIA C. BATTISTI, 5,De Prato Di De Prato Luca & C. S.N.C,,02592540302,33029,VILLA SANTINA,01/03/2013,45.719926,11.314962
5604,Piazza XXII Luglio 1944, 11,Visini Di Alessandro Kaspar & C. S.N.C,,00442810305,33020,SUTRIO,01/07/2017,43.718412,10.945061
5606,-,,Borgna Antonella,,01538440304,33020,PRATO CARNICO,01/01/2005,44.149375,7.739123
5607,Piazza Garibaldi, 3,Bissaldi Chiara,,03750240289,33013,GEMONA DEL FRIULI,01/09/2010,46.278335,13.139686
5613,Via Zorutti, 2/1,Russo Riccardo,,05307540657,33020,CAVAZZO CARNICO,01/07/2017,46.368412,13.039326
5627,Via S. Caterina, 24,Farmacia Termini Del Dott. Lucio Termini & C. S.N.C.,,02918770302,33037,PASIAN DI PRATO,01/05/2018,46.047613,13.198873
5629,VIA L. DA VINCI, 6,Farmacia Dr.Ssa Stella Erika,,02871330300,33048,SAN GIOVANNI AL NATISONE,01/07/2017,44.68771,10.633235
5631,Piazza VERDI, 6,Giordani Giorgio,,00297320301,33019,TRICESIMO,01/01/2005,46.158922,13.215111
